Name,class
mnist_784_0.jpeg,5
mnist_784_1.jpeg,0
mnist_784_2.jpeg,4
mnist_784_3.jpeg,1
mnist_784_4.jpeg,9
mnist_784_5.jpeg,2
mnist_784_6.jpeg,1
mnist_784_7.jpeg,3
mnist_784_8.jpeg,1
mnist_784_9.jpeg,4
mnist_784_10.jpeg,3
mnist_784_11.jpeg,5
mnist_784_12.jpeg,3
mnist_784_13.jpeg,6
mnist_784_14.jpeg,1
mnist_784_15.jpeg,7
mnist_784_16.jpeg,2
mnist_784_17.jpeg,8
mnist_784_18.jpeg,6
mnist_784_19.jpeg,9
mnist_784_20.jpeg,4
mnist_784_21.jpeg,0
mnist_784_22.jpeg,9
mnist_784_23.jpeg,1
mnist_784_24.jpeg,1
mnist_784_25.jpeg,2
mnist_784_26.jpeg,4
mnist_784_27.jpeg,3
mnist_784_28.jpeg,2
mnist_784_29.jpeg,7
mnist_784_30.jpeg,3
mnist_784_31.jpeg,8
mnist_784_32.jpeg,6
mnist_784_33.jpeg,9
mnist_784_34.jpeg,0
mnist_784_35.jpeg,5
mnist_784_36.jpeg,6
mnist_784_37.jpeg,0
mnist_784_38.jpeg,7
mnist_784_39.jpeg,6
mnist_784_40.jpeg,1
mnist_784_41.jpeg,8
mnist_784_42.jpeg,7
mnist_784_43.jpeg,9
mnist_784_44.jpeg,3
mnist_784_45.jpeg,9
mnist_784_46.jpeg,8
mnist_784_47.jpeg,5
mnist_784_48.jpeg,9
mnist_784_49.jpeg,3
mnist_784_50.jpeg,3
mnist_784_51.jpeg,0
mnist_784_52.jpeg,7
mnist_784_53.jpeg,4
mnist_784_54.jpeg,9
mnist_784_55.jpeg,8
mnist_784_56.jpeg,0
mnist_784_57.jpeg,9
mnist_784_58.jpeg,4
mnist_784_59.jpeg,1
mnist_784_60.jpeg,4
mnist_784_61.jpeg,4
mnist_784_62.jpeg,6
mnist_784_63.jpeg,0
mnist_784_64.jpeg,4
mnist_784_65.jpeg,5
mnist_784_66.jpeg,6
mnist_784_67.jpeg,1
mnist_784_68.jpeg,0
mnist_784_69.jpeg,0
mnist_784_70.jpeg,1
mnist_784_71.jpeg,7
mnist_784_72.jpeg,1
mnist_784_73.jpeg,6
mnist_784_74.jpeg,3
mnist_784_75.jpeg,0
mnist_784_76.jpeg,2
mnist_784_77.jpeg,1
mnist_784_78.jpeg,1
mnist_784_79.jpeg,7
mnist_784_80.jpeg,9
mnist_784_81.jpeg,0
mnist_784_82.jpeg,2
mnist_784_83.jpeg,6
mnist_784_84.jpeg,7
mnist_784_85.jpeg,8
mnist_784_86.jpeg,3
mnist_784_87.jpeg,9
mnist_784_88.jpeg,0
mnist_784_89.jpeg,4
mnist_784_90.jpeg,6
mnist_784_91.jpeg,7
mnist_784_92.jpeg,4
mnist_784_93.jpeg,6
mnist_784_94.jpeg,8
mnist_784_95.jpeg,0
mnist_784_96.jpeg,7
mnist_784_97.jpeg,8
mnist_784_98.jpeg,3
mnist_784_99.jpeg,1
mnist_784_100.jpeg,5
mnist_784_101.jpeg,7
mnist_784_102.jpeg,1
mnist_784_103.jpeg,7
mnist_784_104.jpeg,1
mnist_784_105.jpeg,1
mnist_784_106.jpeg,6
mnist_784_107.jpeg,3
mnist_784_108.jpeg,0
mnist_784_109.jpeg,2
mnist_784_110.jpeg,9
mnist_784_111.jpeg,3
mnist_784_112.jpeg,1
mnist_784_113.jpeg,1
mnist_784_114.jpeg,0
mnist_784_115.jpeg,4
mnist_784_116.jpeg,9
mnist_784_117.jpeg,2
