Name,Label,Test
0,mnist_784_29525.jpeg,-1,False
1,mnist_784_27694.jpeg,-1,False
2,mnist_784_21245.jpeg,-1,False
3,mnist_784_27946.jpeg,-1,False
4,mnist_784_13968.jpeg,-1,False
5,mnist_784_13021.jpeg,-1,False
6,mnist_784_27334.jpeg,9,False
7,mnist_784_25675.jpeg,-1,False
8,mnist_784_29965.jpeg,-1,False
9,mnist_784_19195.jpeg,-1,False
10,mnist_784_2804.jpeg,-1,False
11,mnist_784_831.jpeg,8,False
12,mnist_784_3938.jpeg,-1,False
13,mnist_784_26483.jpeg,-1,False
14,mnist_784_7673.jpeg,-1,False
15,mnist_784_25249.jpeg,-1,False
16,mnist_784_19698.jpeg,-1,False
17,mnist_784_14866.jpeg,-1,False
18,mnist_784_20121.jpeg,-1,False
19,mnist_784_3620.jpeg,-1,False
20,mnist_784_9266.jpeg,-1,False
21,mnist_784_17177.jpeg,-1,False
22,mnist_784_21036.jpeg,-1,False
23,mnist_784_10022.jpeg,-1,False
24,mnist_784_28746.jpeg,-1,False
25,mnist_784_7764.jpeg,-1,False
26,mnist_784_22586.jpeg,-1,False
27,mnist_784_9446.jpeg,6,False
28,mnist_784_5269.jpeg,-1,False
29,mnist_784_26952.jpeg,-1,False
30,mnist_784_24085.jpeg,-1,False
31,mnist_784_10556.jpeg,-1,False
32,mnist_784_8114.jpeg,-1,False
33,mnist_784_19448.jpeg,-1,False
34,mnist_784_26737.jpeg,-1,False
35,mnist_784_13949.jpeg,-1,False
36,mnist_784_26322.jpeg,-1,False
37,mnist_784_24759.jpeg,-1,False
38,mnist_784_19241.jpeg,-1,False
39,mnist_784_26682.jpeg,-1,False
40,mnist_784_7957.jpeg,-1,False
41,mnist_784_16615.jpeg,-1,False
42,mnist_784_22715.jpeg,-1,False
43,mnist_784_18344.jpeg,-1,False
44,mnist_784_28767.jpeg,-1,False
45,mnist_784_16331.jpeg,-1,False
46,mnist_784_13720.jpeg,9,False
47,mnist_784_29935.jpeg,-1,False
